newspaper,e2016,e2012,circulation,date,city,state,lat,lng
The Salt Lake Tribune,Hillary Clinton,Barack Obama,133025,10/12/2016,Salt Lake City,Utah,,
The Burlington Free Press,Hillary Clinton,Barack Obama,56850,10/12/2016,Burlington,Vermont,,
Traverse City Record-Eagle,Hillary Clinton,No endorsement,39032,10/12/2016,Traverse City,Michigan,,
Courier-Post,Hillary Clinton,No endorsement,89932,10/12/2016,Cherry Hill,New Jersey,,
The Daily Journal,Hillary Clinton,No endorsement,19265,10/12/2016,Vineland,New Jersey,,
Tahlequah Daily Press,Hillary Clinton,No endorsement,5688,10/12/2016,Tahlequah,Oklahoma,,
Glasgow Daily Times,Hillary Clinton,No endorsement,6970,10/12/2016,Glasgow,Kentucky,,
Daily Herald,Not Donald Trump,No endorsement,27000,10/13/2016,Provo,Utah,,
The San Francisco Examiner,Hillary Clinton,Barack Obama,2542372016,10/13/2016,San Francisco,California,,
The Washington Post,Hillary Clinton,Barack Obama,579160,10/13/2016,Washington,District of Columbia,,
Daily Review Atlas,No endorsement,No endorsement,3000,10/13/2016,Monmouth,Illinois,,
Idaho Statesman,Hillary Clinton,No endorsement,87000,10/13/2016,Boise,Idaho,,
The Meridian Star,Hillary Clinton,No endorsement,15379,10/13/2016,Meridian,Mississippi,,
Charleston Gazette-Mail,Hillary Clinton,Mitt Romney,55407,10/14/2016,Charleston,West Virginia,,
The Jersey Journal,Hillary Clinton,Barack Obama,15410,10/14/2016,Secaucus,New Jersey,,
News-Press,Hillary Clinton,No endorsement,8420,10/14/2016,Stillwater,Oklahoma,,
Miami Herald,Hillary Clinton,Barack Obama,153360,10/14/2016,Miami,Florida,,
